,elbow-l,elbow-r,knee-l,knee-r,kneck-l,kneck-r,leg-l,leg-r,back,Pose
284,-19.124810481674132,0.0,-28.081732549507105,45.563946629960654,81.98290692634467,48.29283940036488,-23.171544488336764,-18.3669823310617,-8.01709307365533,halfMoon
285,1000.0,1000.0,7.96961039432135,1000.0,-0.0,1000.0,-82.44549939756709,1000.0,29.74488129694222,halfMoon
286,-0.23096359584342385,163.41266144307258,10.847346842953478,21.774920454714756,74.39605285494326,74.39605285494326,-50.85360285713009,40.74763124026014,-4.692818760773359,halfMoon
287,44.46454101443547,16.11341823308929,7.650650955359411,6.418786730238786,0.0,-0.0,-53.731575142020105,-70.70883294942752,90.0,halfMoon
288,-8.562477614962487,148.81079749449293,1000.0,1000.0,12.144278049567006,102.144278049567,-45.0,-3.370155608824235,-5.959484984939621,halfMoon
289,165.52970589993413,14.470294100065885,7.352379359892353,172.0644496299112,-69.14554196042165,51.34019174590991,-78.38197155140583,-18.997957332326873,-14.036243467926479,halfMoon
290,1000.0,1000.0,1000.0,176.212426449441,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
291,26.306963825741796,-22.323673664824973,11.21063312887668,173.4398035994287,77.31961650818018,103.88466768525817,64.29960427723888,-65.2617848010102,2.178230956104841,halfMoon
292,19.653824058053306,1000.0,15.111159760985773,23.223107319816858,1000.0,1000.0,-25.416006229751805,-40.32583628886923,1000.0,halfMoon
293,-18.00416160591338,18.00416160591338,26.99583839408662,0.0,-10.8347986872966,-63.00416160591338,0.0,90.0,-11.611130238174637,halfMoon
294,-7.141079084537356,0.0,62.68184431458132,-61.9535256925627,1000.0,1000.0,-26.175762863576264,63.45005448550719,1000.0,halfMoon
295,0.0,-2.9089074283561573,133.69978498488314,-56.40585971876151,64.68711619812586,-64.38451567935783,115.22764946742859,12.032978392425537,-19.051008731321243,halfMoon
296,78.77737689674088,0.0,1000.0,5.75826016436676,70.28159749963314,0.0,115.27772223555294,-72.32956735562135,-55.00323467836972,halfMoon
297,-80.39552453007157,77.57957005474343,7.645748153279495,10.070160172015749,104.47029410006589,104.47029410006589,-6.445114171754459,6.445114171754459,2.1312068217396933,halfMoon
298,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
299,0.0,-24.59334697080215,-67.33768116263865,-60.4949077500077,63.85607076007747,-68.82756083063795,32.162542083766866,15.901338693995324,-19.087379862338658,halfMoon
300,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
301,168.17851165939277,1000.0,-8.284841377560491,13.610409727767417,56.90605202194519,115.94229548987167,6.606882968951637,1.190290642207303,-19.057704510128328,halfMoon
302,0.0,169.01934998982645,-21.154093401980553,165.83783194468725,34.01934998982646,-63.93817523709068,-75.83783194468725,-75.83783194468725,-10.980650010173544,halfMoon
303,90.0,-0.20538865110005583,1000.0,1000.0,69.62356478616361,-63.43494882292201,1000.0,1000.0,-9.283552805261346,halfMoon
